word,meaning
거래소,상품이나 유가 증권 등을 대량으로 사고파는 장소.
거래액,물건을 주고받거나 사고파는 액수.
거래처,지속적으로 돈이나 물건 등을 사고파는 상대편.
거룻배,돛이 없는 작은 배.
거름망,찌꺼기나 건더기가 있는 액체에서 물만 빼고 찌꺼기를 걸러 내는 그물.
거리감,어떤 대상과 일정한 거리로 떨어져 있다고 느끼는 감정이나 감각.
거리감,서먹하거나 별로 친하지 않다고 느끼는 감정.
거리낌,어떤 일이 마음에 걸리고 꺼려짐.
거문고,오동나무와 밤나무로 만들어 여섯 개의 줄을 뜯거나 튕겨서 소리를 내는 한국의 현악기.
거미줄,거미가 몸에서 뽑아낸 가는 줄. 또는 그 줄로 친 그물.
거미줄,(비유적으로) 남을 잡거나 가두기 위해 여러 곳에 마련해 둔 함정 등의 망.
거부감,어떤 것을 받아들이고 싶지 않은 느낌.
거부권,거부할 수 있는 권리.
거북선,조선 시대에 이순신 장군이 왜적의 침입을 물리치기 위해 철판으로 거죽을 싸서 만든 거북 모양의 배.
거북이,"몸은 납작한 타원형이고 목이 짧으며, 등과 배에 단단한 껍질이 있어서 머리와 꼬리, 네 발을 그 안에 움츠려 넣을 수 있는 동물."
거센소리,"‘ㅊ’, ‘ㅋ’, ‘ㅌ’, ‘ㅍ’과 같이 폐에서 나오는 공기를 막았다가 그 막은 자리를 터뜨리면서 거세게 내는 소리."
거수경례,흔히 군복이나 제복을 입은 사람들이 오른손 손바닥을 곧게 펴고 눈썹 언저리까지 들어 올려서 경례함.
거식증,음식을 먹는 것을 거부하는 증상.
거적때기,(속된 말로) 헌 거적.
거적문,사람이 드나드는 출입구에 문짝 대신에 짚으로 엮은 넓적한 물건을 매달아 만든 문.
거주민,일정한 곳에 머물러 살고 있는 주민.
거주자,일정한 곳에 머물러 살고 있는 사람.
거주지,머물러 살고 있는 장소.
거지꼴,거지처럼 초라하고 지저분한 차림새나 모양새.
거짓말,사실이 아닌 것을 사실인 것처럼 꾸며서 하는 말.
거짓말쟁이,거짓말을 많이 하는 사람.
거짓부렁,(속된 말로) 사실이 아닌 것을 사실인 것처럼 꾸며서 하는 거짓말.
거품기,"달걀이나 우유, 크림 등을 저어서 거품을 내거나 섞을 때 쓰는 조리 도구."
걱정거리,걱정이 되는 일.
건강식품,건강을 유지하거나 더욱 건강해지기 위해 먹는 식품.
건강체,"정신적, 육체적으로 아무 탈이 없이 튼튼한 몸."
건건이,변변치 않은 반찬. 또는 간단한 반찬.
건건이,음식이 싱겁지 않도록 넣는 짠맛의 간장이나 양념장.
건너편,마주 대하고 있는 저쪽 편.
건넌방,안방과 마루나 거실을 사이에 두고 맞은편에 있는 방.
건널목,철로와 도로가 교차하는 곳에 도로를 이용하던 사람들이 철로를 건널 수 있게 만들어 놓은 곳.
건넛마을,건너편에 있는 마을.
건달패,건달들의 무리.
건더기,(속된 말로) 내세울 만한 일의 내용이나 근거.
건망증,경험한 일을 기억하지 못하거나 잘 잊어버리는 증상.
건설업,건물을 짓거나 길을 만드는 것과 같은 공사 및 그에 따르는 업무를 맡아 하는 사업.
건설업자,건설업을 경영하는 사람.
건설업체,건설업을 경영하는 사업이나 기업체.
건설적,어떤 일을 더 새롭게 발전되는 방향으로 이끌어 가는 것.
건의문,의견이나 바라는 사항을 적은 글.
건의서,의견이나 바라는 사항을 적은 문서.
건의안,의견이나 바라는 사항을 정리하여 회의에서 토의할 수 있게 내놓은 안건.
건재상,건축에 쓰이는 재료를 파는 가게. 또는 그런 장사를 하는 사람.
건전성,온전하고 잘못된 데가 없이 튼튼한 상태의 성질.
건전지,"카메라, 라디오, 손전등 등에 쓰는, 전기를 일으키는 작은 물건."
건조기,비나 눈이 별로 오지 않아 메마른 시기.
건조대,어떤 것의 물기를 말리기 위해 올려놓는 받침이 되는 기구.
건조물,크게 지은 집이나 물건.
건조실,물건을 말리기 위해 특별한 장치를 한 방.
건조제,물질 속의 수분을 제거하여 건조시키는 약품.
건축가,전문적인 지식과 기술을 가지고 건축에 관련된 일을 하는 사람.
건축물,땅 위에 지은 건물이나 시설.
건축미,건축물이 지닌 아름다움.
건축사,정부로부터 자격증을 받아 건축물의 설계나 공사 감독 등의 일을 하는 사람.
건축업,건축을 전문으로 하는 직업이나 사업.
건축재,건축에 쓰는 여러 가지 재료.
건포도,물기를 말려서 작고 쪼글쪼글해진 포도.
걸음걸음,한 걸음 한 걸음. 또는 모든 걸음.
걸음마,어린아이가 걷기를 처음 배우기 시작할 때의 걸음.
걸음마,(비유적으로) 일이 시작되는 단계.
검둥개,털 색이 검은 개.
검둥이,피부색이 검은 사람.
검둥이,(낮잡아 이르는 말로) 흑인.
검둥이,(귀엽게 이르는 말로) 털 색이 검은 개.
검문검색,주로 경찰이나 군인이 수상한 사람이나 그의 물건을 확인하고 검사하는 것.
검문소,경찰이나 군인이 길에서 지나가는 사람이나 차를 세우고 신분을 확인하기 위해 묻는 곳.
검사장,검사를 하는 장소.
검색어,"주로 인터넷상에서 입력하는, 찾고자 하는 자료와 관련된 단어."
검색창,인터넷에서 어떤 정보를 찾을 때 찾고자 하는 정보를 입력하는 공간.
검시관,사망 원인을 알아내기 위해 시체를 검사하는 관리.
검역소,전염병을 막기 위해 병균이 있는지 검사하려고 공항이나 항구 등에 설치한 곳.
검열관,"어떤 일의 상태를 검사하거나 출판, 예술 등의 내용을 미리 검사하여 조정하는 관리."
검은깨,색깔이 검은 깨.
검은빛,빛이 없을 때의 밤하늘이나 먹과 같은 빛.
검은색,빛이 없을 때의 밤하늘이나 먹과 같은 색.
검정고시,정규 학교를 졸업한 것과 같은 자격을 얻기 위한 시험.
검정말,검은색의 말.
검정콩,껍질의 색이 검은 콩.
검찰권,국민이나 기관이 법을 잘 지키는가를 감시하는 국가의 권한.
검찰청,"범죄를 조사하여 증거를 모으고, 죄를 지은 것으로 의심이 가는 사람을 고발하는 일을 하는 국가 기관."
검투사,(옛날에) 경기장에서 칼을 가지고 사람이나 동물 등과 싸우는 것을 직업으로 하는 사람.
